timestamp,exchange_long,exchange_short,symbol,gross_spread_pct,price_long,price_short,funding_long,funding_short,funding_diff_pct,effective_spread_pct
2026-06-08T04:36:51.377884+00:00Z,gate,mexc,CLOUSDT,0.7014,0.19106,0.1924,0.0001,5e-05,-5e-05,0.7015
2026-06-08T04:36:51.377884+00:00Z,bybit,mexc,CLOUSDT,0.6592,0.19114,0.1924,5e-05,5e-05,0.0,0.6592
2026-06-08T04:39:15.620738+00:00Z,mexc,gate,OPNUSDT,0.5591,0.1073,0.1079,-1.3e-05,5e-05,6.3e-05,0.5591
2026-06-08T04:39:17.636043+00:00Z,mexc,bybit,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:17.636043+00:00Z,mexc,gate,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:19.659521+00:00Z,mexc,gate,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:21.675249+00:00Z,mexc,bybit,OPNUSDT,0.7455,0.1073,0.1081,-1.3e-05,5e-05,6.3e-05,0.7454
2026-06-08T04:39:21.675249+00:00Z,mexc,gate,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:23.696370+00:00Z,mexc,gate,OPNUSDT,0.7455,0.1073,0.1081,-1.3e-05,5e-05,6.3e-05,0.7454
2026-06-08T04:39:25.710843+00:00Z,mexc,gate,OPNUSDT,0.7455,0.1073,0.1081,-1.3e-05,5e-05,6.3e-05,0.7454
2026-06-08T04:39:27.713001+00:00Z,mexc,bybit,OPNUSDT,0.8387,0.1073,0.1082,-1.3e-05,5e-05,6.3e-05,0.8386
2026-06-08T04:39:27.713001+00:00Z,mexc,gate,OPNUSDT,0.7455,0.1073,0.1081,-1.3e-05,5e-05,6.3e-05,0.7454
2026-06-08T04:39:29.727974+00:00Z,mexc,bybit,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:29.727974+00:00Z,mexc,gate,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:31.753995+00:00Z,mexc,gate,OPNUSDT,0.7455,0.1073,0.1081,-1.3e-05,5e-05,6.3e-05,0.7454
2026-06-08T04:39:33.770621+00:00Z,mexc,gate,OPNUSDT,0.7455,0.1073,0.1081,-1.3e-05,5e-05,6.3e-05,0.7454
2026-06-08T04:39:35.773209+00:00Z,mexc,bybit,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:35.773209+00:00Z,mexc,gate,OPNUSDT,0.5591,0.1073,0.1079,-1.3e-05,5e-05,6.3e-05,0.5591
2026-06-08T04:39:37.794682+00:00Z,mexc,bybit,OPNUSDT,0.6523,0.1073,0.108,-1.3e-05,5e-05,6.3e-05,0.6523
2026-06-08T04:39:37.794682+00:00Z,mexc,gate,OPNUSDT,0.5591,0.1073,0.1079,-1.3e-05,5e-05,6.3e-05,0.5591
2026-06-08T04:43:44.164991+00:00Z,gate,bybit,ASTSUSDT,0.5483,93.7,94.21,0.003988,0.0,-0.003988,0.5523
2026-06-08T04:47:34.435248+00:00Z,mexc,bybit,CLOUSDT,0.5934,0.1837,0.18479,5e-05,5e-05,0.0,0.5934
2026-06-08T04:47:34.435248+00:00Z,mexc,gate,CLOUSDT,0.5334,0.1837,0.18468,5e-05,0.0001,5e-05,0.5334
2026-06-08T04:47:36.466897+00:00Z,mexc,bybit,CLOUSDT,0.5988,0.1837,0.1848,5e-05,5e-05,0.0,0.5988
2026-06-08T04:47:38.481862+00:00Z,mexc,bybit,CLOUSDT,0.6478,0.1837,0.18489,5e-05,5e-05,0.0,0.6478
2026-06-08T04:47:38.481862+00:00Z,mexc,gate,CLOUSDT,0.5389,0.1837,0.18469,5e-05,0.0001,5e-05,0.5388
2026-06-08T04:47:40.501838+00:00Z,mexc,bybit,CLOUSDT,0.773,0.1837,0.18512,5e-05,5e-05,0.0,0.773
2026-06-08T04:47:40.501838+00:00Z,mexc,gate,CLOUSDT,0.626,0.1837,0.18485,5e-05,0.0001,5e-05,0.6259
2026-06-08T04:47:42.636630+00:00Z,mexc,bybit,CLOUSDT,0.6913,0.1837,0.18497,5e-05,5e-05,0.0,0.6913
2026-06-08T04:47:42.636630+00:00Z,mexc,gate,CLOUSDT,0.6314,0.1837,0.18486,5e-05,0.0001,5e-05,0.6314
2026-06-08T04:47:44.662507+00:00Z,mexc,bybit,CLOUSDT,0.6315,0.1837,0.18486,5e-05,5e-05,0.0,0.6315
2026-06-08T04:51:04.883330+00:00Z,bybit,mexc,CLOUSDT,0.505,0.18417,0.1851,5e-05,5e-05,0.0,0.505
2026-06-08T04:54:15.228373+00:00Z,bybit,mexc,CLOUSDT,0.5083,0.18297,0.1839,5e-05,5e-05,0.0,0.5083
2026-06-08T04:54:17.246470+00:00Z,bybit,mexc,CLOUSDT,1.7034,0.18082,0.1839,5e-05,5e-05,0.0,1.7034
2026-06-08T04:54:17.246470+00:00Z,gate,mexc,CLOUSDT,1.6416,0.18093,0.1839,0.0001,5e-05,-5e-05,1.6416
2026-06-08T04:54:19.269499+00:00Z,gate,mexc,CLOUSDT,2.008,0.18028,0.1839,0.0001,5e-05,-5e-05,2.0081
2026-06-08T04:54:19.269499+00:00Z,bybit,mexc,CLOUSDT,2.0023,0.18029,0.1839,5e-05,5e-05,0.0,2.0023
2026-06-08T04:54:21.287186+00:00Z,bybit,mexc,CLOUSDT,2.0533,0.1802,0.1839,5e-05,5e-05,0.0,2.0533
2026-06-08T04:54:21.287186+00:00Z,gate,mexc,CLOUSDT,2.025,0.18025,0.1839,0.0001,5e-05,-5e-05,2.0251
2026-06-08T04:54:23.312979+00:00Z,gate,mexc,CLOUSDT,1.7822,0.18068,0.1839,0.0001,5e-05,-5e-05,1.7823
2026-06-08T04:54:23.312979+00:00Z,bybit,mexc,CLOUSDT,1.7484,0.18074,0.1839,5e-05,5e-05,0.0,1.7484
2026-06-08T04:54:25.332615+00:00Z,bybit,mexc,CLOUSDT,2.1553,0.18002,0.1839,5e-05,5e-05,0.0,2.1553
2026-06-08T04:54:25.332615+00:00Z,gate,mexc,CLOUSDT,2.0703,0.18017,0.1839,0.0001,5e-05,-5e-05,2.0704
2026-06-08T04:54:27.336915+00:00Z,gate,mexc,CLOUSDT,1.9402,0.1804,0.1839,0.0001,5e-05,-5e-05,1.9402
2026-06-08T04:54:27.336915+00:00Z,bybit,mexc,CLOUSDT,1.3614,0.18143,0.1839,5e-05,5e-05,0.0,1.3614
2026-06-08T04:54:29.357178+00:00Z,bybit,mexc,CLOUSDT,1.4453,0.18128,0.1839,5e-05,5e-05,0.0,1.4453
2026-06-08T04:54:29.357178+00:00Z,gate,mexc,CLOUSDT,1.2666,0.1816,0.1839,0.0001,5e-05,-5e-05,1.2666
2026-06-08T04:54:31.360557+00:00Z,bybit,mexc,CLOUSDT,1.3558,0.18144,0.1839,5e-05,5e-05,0.0,1.3558
